,english,arabic
1409,Article 1,حيث أن التدابير المنصوص عليها في هذه اللائحة هي وفقا لرأي اللجنة الإدارية للبذور،
1410,COUNCIL REGULATION (EEC) No 2617/93 of 21 September 1993 amending Regulation (EEC) No 1907/90 on certain marketing standards on eggs,تثبت المساعدات المشار إليها في المادتين 16 و 27 من اللائحة رقم 1600/92، والمخفضة وفقا للمادة 2 من اللائحة رقم 3824/92، على 494 إيكو للهكتار الواحد.
1411,"Having regard to Council Regulation (EEC) No 2771/75 of 29 October 1975 on the common organization of the market in eggs (1), and in particular Article 2 (2) thereof,",مجلس الجماعات الأوروبية،
1412,"Whereas the provisions regarding direct deliveries from producers to packing stations, certain markets and food industry undertakings should also apply for such deliveries to the non-food industry;",باعتبار اقتراح الهيئة،
1413,"Whereas experience has shown that provisions for the indication of dates on grade A eggs and egg packs containing them should be modified to require mandatory indication of the date of minimum durability as for other foodstuffs in conformity with Council Directive 79/112/EEC of 18 December 1978 on the approximation of the laws of the Member States relating to the labelling, presentation and advertising of foodstuffs (4); whereas for imported grade A eggs with a view to facilitate control, packs should also bear the indication of the packing date,",حيث يقتصر تسليم البيض مخفض التصنيف على تعهدات صناعة الأغذية المعتمدة وفقا لتوجيه المجلس رقم 89/437  المؤرخ في 20 تموز 1989 بشأن مشاكل النظافة والصحة التي تؤثر على الإنتاج والطرح في السوق من منتجات البيض (3) من أجل ضمان التعامل السليم مع هذه المنتجات؛
1414,Regulation (EEC) No 1907/90 is hereby amended as follows:,تم اعتماد هذه اللائحة:
1415,"3. In Articles 6 (1) and 8 (3), the term 'food industry' shall be replaced by 'food industry undertakings approved in accordance with Directive 89/437/EEC'.",2. يستبدل في المادة 4 (1) البند (أ) بما يلي:
1416,5. Article 10 (1) point (a) shall be replaced by the following:,4. تستبدل المادة 7 (أ) بما يلي:
1417,"'(e) the date of minimum durability (""best-before date"") followed by appropriate storage recommendations for grade A eggs, and the packing date for eggs of other grades'.",(أ) يستخدم الاسم أو الاسم التجاري وعنوان المشروع الذي تعهد بتعبئة البيض أو قام بالتعبئة. يظهر الاسم أو الاسم التجاري أو العلامة التجارية المستخدمة من قبل هذا المشروع، والتي قد تكون علامة تجارية تستخدم بشكل جماعي في عدد من المشاريع، إذا كان يحتوي على أي بيان أو رمز يتعارض مع هذه اللائحة المتعلقة بنوعية البيض أو كونه طازج، مع نوع الزراعة المستخدمة في إنتاجه أو أصل البيض؛
1418,8. Article 13 (2) shall be replaced by the following:,7. تستبدل المادة 10 (2) البند (هـ) بما يلي:
1419,"In accordance with the procedure laid down in Article 17 of Regulation (EEC) No 2771/75, the Commission shall lay down the transitional measures necessary for the implementation of this Regulation, in particular those referring to the use of existing packing material.",(2) في حالة بيع البيض بالجملة، يجب الإشارة إلى مركز التعبئة الذي قام بتصنيف البيض، أو في حالة البيض المستورد من منشأ دولة ثالثة، يتم الإشارة إلى تاريخ الصلاحية الأدنى متبوعا بتوصيات التخزين المناسبة.
1420,This Regulation shall be binding in its entirety and directly applicable in all Member States.,المادة 3
1421,"Having regard to the Treaty establishing the European Economic Community, and in particular Article 43 thereof,",لائحة المجلس رقم 2847/93 المؤرخة في 12 تشرين الأول  1993 بشأن إنشاء نظام مراقبة يطبق على السياسة المشتركة لمصائد الأسماك
1422,"Having regard to the opinion of the Economic and Social Committee (3),",باعتبار الاقتراح الصادر من الهيئة (1)،
1423,"Whereas control is first and foremost the responsibility of the Member States; whereas the Commission should also seek to ensure that the Member States monitor and prevent infringements in an equitable manner; whereas, therefore, the Commission should be provided with the financial, legal and legislative means to carry out this task as effectively as possible;",حيث لتحقيق هذا الهدف، من الضروري تضمين قواعد لرصد تدابير الحفظ وإدارة الموارد والتدابير والإجراءات الهيكلية في المنظمة المشتركة للسوق، والأحكام الخاصة بالتعامل مع عدم تنفيذ هذه التدابير، الواجب تطبيقها على قطاع الثروة السمكية بأكمله من المنتج إلى المستهلك.
